target_id,n_sites,mechanism,eta_mean,eta_sem,best_rate,samples,optimization_samples,parameter_match,artifact_stage
T001,3,rescue,0.9999659355933651,6.189042731689422e-07,10.0,15,5,paper_subset,exploratory
T001,3,dephasing,0.937870754119783,0.0005711149451294064,4.6415888336127775,15,5,paper_subset,exploratory
T001,3,baseline,0.5129145455246945,0.03654725180375829,0.0,15,0,paper_subset,exploratory
T001,3,combined,0.9999839161591468,6.712792889831736e-08,rec=10;deph=10,15,5,paper_subset,exploratory
T001,4,rescue,0.9999492708184818,9.663278810139515e-07,10.0,15,5,paper_subset,exploratory
T001,4,dephasing,0.8922059944400812,0.0003970729984576141,5.994842503189409,15,5,paper_subset,exploratory
T001,4,baseline,0.3928112523246243,0.02409351430931791,0.0,15,0,paper_subset,exploratory
T001,4,combined,0.9999769093275634,1.1723990121309766e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,5,rescue,0.9999292224793195,1.281010376066961e-06,10.0,15,5,paper_subset,exploratory
T001,5,dephasing,0.84496467683419,0.0003908572906933053,5.994842503189409,15,5,paper_subset,exploratory
T001,5,baseline,0.3114877490970239,0.017432497661184314,0.0,15,0,paper_subset,exploratory
T001,5,combined,0.9999680208863947,1.6782395216595566e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,6,rescue,0.9999081425797759,1.736897927368779e-06,10.0,15,5,paper_subset,exploratory
T001,6,dephasing,0.7987532645096214,0.0003856099674611191,6.812920690579611,15,5,paper_subset,exploratory
T001,6,baseline,0.2398942217375004,0.011054534766618447,0.0,15,0,paper_subset,exploratory
T001,6,combined,0.9999572636064038,2.48545488425738e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,7,rescue,0.9998847720108832,1.8550410537678525e-06,10.0,15,5,paper_subset,exploratory
T001,7,dephasing,0.7554775815266332,0.0003350638351873704,7.742636826811269,15,5,paper_subset,exploratory
T001,7,baseline,0.19904892641191468,0.00851907222294147,0.0,15,0,paper_subset,exploratory
T001,7,combined,0.9999443675310525,3.0396577773781416e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,8,rescue,0.9998598014946449,2.32972268255251e-06,10.0,15,5,paper_subset,exploratory
T001,8,dephasing,0.7153777642233793,0.00032002984488880757,7.742636826811269,15,5,paper_subset,exploratory
T001,8,baseline,0.17109924282583394,0.008494843432530704,0.0,15,0,paper_subset,exploratory
T001,8,combined,0.9999291949420568,4.097943541146491e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,9,rescue,0.9998346868157171,2.5290461622850217e-06,10.0,15,5,paper_subset,exploratory
T001,9,dephasing,0.6786038475112579,0.0002871278893914209,8.79922543569107,15,5,paper_subset,exploratory
T001,9,baseline,0.1445606072819828,0.0051753550854003565,0.0,15,0,paper_subset,exploratory
T001,9,combined,0.9999118452767751,4.953945197286416e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,10,rescue,0.9998074848505704,2.598480819897132e-06,10.0,15,5,paper_subset,exploratory
T001,10,dephasing,0.6448643069654332,0.00027720118565987715,8.79922543569107,15,5,paper_subset,exploratory
T001,10,baseline,0.12789429278632383,0.0045142328541364594,0.0,15,0,paper_subset,exploratory
T001,10,combined,0.9998919282308217,5.507146437811091e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,12,rescue,0.9997531742047544,2.6928322148854137e-06,10.0,15,5,paper_subset,exploratory
T001,12,dephasing,0.5856923554193435,0.00024349750741633263,10.0,15,5,paper_subset,exploratory
T001,12,baseline,0.10746336754007393,0.003850679075321896,0.0,15,0,paper_subset,exploratory
T001,12,combined,0.9998450957004162,6.236809345231361e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,16,rescue,0.9996396494467621,2.6455017430496387e-06,10.0,15,5,paper_subset,exploratory
T001,16,dephasing,0.49309043368383104,0.0002212213819005661,10.0,15,5,paper_subset,exploratory
T001,16,baseline,0.07511177282962508,0.002460152680411878,0.0,15,0,paper_subset,exploratory
T001,16,combined,0.9997210405193961,8.508439326192256e-07,rec=10;deph=10,15,5,paper_subset,exploratory
T001,20,rescue,0.9995333837056058,3.4852388257967757e-06,10.0,15,5,paper_subset,exploratory
T001,20,dephasing,0.4247168331010401,0.0001977042526331505,10.0,15,5,paper_subset,exploratory
T001,20,baseline,0.05764391276840626,0.0014217106620131319,0.0,15,0,paper_subset,exploratory
T001,20,combined,0.9995606973358824,1.6049339128082186e-06,rec=10;deph=10,15,5,paper_subset,exploratory
T001,24,rescue,0.999435214262386,4.041802413714292e-06,10.0,15,5,paper_subset,exploratory
T001,24,dephasing,0.37256295918621213,0.000172386767128485,10.0,15,5,paper_subset,exploratory
T001,24,baseline,0.04698589499489629,0.0009077895367896789,0.0,15,0,paper_subset,exploratory
T001,24,combined,0.999368970903027,2.3064826524653544e-06,rec=10;deph=10,15,5,paper_subset,exploratory
T001,28,rescue,0.9993445464483504,3.862698763235536e-06,10.0,15,5,paper_subset,exploratory
T001,28,dephasing,0.3316234077475456,0.00016300967928490633,10.0,15,5,paper_subset,exploratory
T001,28,baseline,0.039525133633789705,0.000675065604789211,0.0,15,0,paper_subset,exploratory
T001,28,combined,0.9991514375751058,2.9091516262839827e-06,rec=10;deph=10,15,5,paper_subset,exploratory
T001,32,rescue,0.9992627484790104,3.871398124156403e-06,10.0,15,5,paper_subset,exploratory
T001,32,dephasing,0.298666934733953,0.00014863612776068095,10.0,15,5,paper_subset,exploratory
T001,32,baseline,0.03402546109818488,0.0004903376961643334,0.0,15,0,paper_subset,exploratory
T001,32,combined,0.998980123100379,4.5737921117157505e-06,rec=10;deph=3.3333333,15,5,paper_subset,exploratory
T001,48,rescue,0.9990129194946518,3.2110886483443832e-06,10.0,15,5,paper_subset,exploratory
T001,48,dephasing,0.2157439936749485,5.659541250250323e-05,20.20949938191079,15,5,paper_subset,exploratory
T001,48,baseline,0.02197279009425934,0.00019245992955315604,0.0,15,0,paper_subset,exploratory
T001,48,combined,0.9996372902140258,1.1632749222625444e-07,rec=10;deph=60.628498,15,5,paper_subset,exploratory
T001,64,rescue,0.9988447162481349,2.8644565605327793e-06,10.0,15,5,paper_subset,exploratory
T001,64,dephasing,0.16827500432746462,4.520261901343777e-05,20.20949938191079,15,5,paper_subset,exploratory
T001,64,baseline,0.01633996659237869,0.00011853643797499853,0.0,15,0,paper_subset,exploratory
T001,64,combined,0.999220370258681,2.3289712819915392e-07,rec=10;deph=60.628498,15,5,paper_subset,exploratory
T001,96,rescue,0.9986308419601954,1.6280760041532646e-06,10.0,15,5,paper_subset,exploratory
T001,96,dephasing,0.11700972920943163,2.5293010101631852e-05,27.825594022071257,15,5,paper_subset,exploratory
T001,96,baseline,0.010783196933174208,7.513216049528056e-05,0.0,15,0,paper_subset,exploratory
T001,96,combined,0.998796161069389,1.6559571689990575e-07,rec=10;deph=83.476782,15,5,paper_subset,exploratory
