model,param,realization,runtime_s,chi_m_tot,chi_p_tot,chi_d_tot,I_m_tot,I_p_tot,C_m_tot,C_p_tot,beta_W_irr_tot,beta_W_relax_tot,chi_m_tau1_tot,chi_m_tau2_tot,chi_p_h2_tot,chi_p_h3_tot,identity_residual_max,n_eval,n_seq
cluster,0.0,0,183.3,1.6762308556487078,1.620028867316361,0.0562019883323468,1.3618949472705468,1.3112031995959068,0.3143359083781576,0.3088256677204779,0.06023312080350053,0.0040311324711607985,1.1662409647673897,0.5917629114223857,1.0751849361115737,0.5224805789095148,8.881784197001252e-16,2000,5000
cluster,0.05,0,107.3,1.6820172937139408,1.6160539191363066,0.06596337457763424,1.3801186859920813,1.320856319148752,0.30189860772185106,0.2951975999875758,0.07124123130682813,0.005277856729217622,1.173419016313543,0.5950872490495804,1.0705005931540965,0.5285757099717179,8.881784197001252e-16,2000,5000
cluster,0.1,0,109.1,1.696422280004307,1.6165100470439846,0.07991223296032235,1.403106169394519,1.3345829299294056,0.29331611060981544,0.2819271171146158,0.08691464286278107,0.007002409902459733,1.191996024099152,0.6027303788861786,1.0685846593568535,0.5340999245438747,8.881784197001252e-16,2000,5000
cluster,0.15000000000000002,0,107.1,1.7250303404098943,1.6223740094149384,0.10265633099495597,1.435617232319525,1.348407564082457,0.2894131080903444,0.27396644533249237,0.11257663089660593,0.009920299901675278,1.233368021428102,0.6237341897664899,1.0707394231038276,0.5483555615104829,8.881784197001252e-16,2000,5000
cluster,0.2,0,105.6,1.7687299460321873,1.6364054277690765,0.13232451826311076,1.4803806843820473,1.359548945530224,0.2883492616501391,0.27685648223885395,0.14676301938316602,0.014438501120067268,1.3056392800644505,0.6768310809463238,1.0851482061492401,0.5797608398847038,8.881784197001252e-16,2000,5000
cluster,0.25,0,104.8,1.830938599705385,1.6755340669972516,0.15540453270813348,1.530422233189169,1.369846165686127,0.30051636651619584,0.3056879013111029,0.1782787040606712,0.022874171352571644,1.4059857774340232,0.7808385030296692,1.127510879464285,0.6305237277330469,8.881784197001252e-16,2000,5000
cluster,0.30000000000000004,0,104.0,1.8970233824933196,1.7064824296442809,0.19054095284903871,1.5337865966909678,1.3172202909222612,0.36323678580233154,0.38926213872200677,0.23366607721745616,0.043125124368431654,1.5241522458623131,0.913961992337855,1.1621574069350942,0.6856655707871484,8.881784197001252e-16,2000,5000
cluster,0.35000000000000003,0,104.4,1.935586661164109,1.7202345081675015,0.2153521529966076,1.5204912697704973,1.2565211531067044,0.41509539139362384,0.4637133550607968,0.27781688432593477,0.06246473132931598,1.6259841656938265,1.0478664175025036,1.1953112147591631,0.743739160071685,8.881784197001252e-16,2000,5000
cluster,0.4,0,104.2,1.9421772897154894,1.7157701938016077,0.22640709591388175,1.4349210306391935,1.148388363654659,0.5072562590763532,0.5673818301469539,0.3153676191298488,0.08896052321596994,1.6918091432955729,1.1713773868499207,1.213245393714201,0.7799079042673331,8.881784197001252e-16,2000,5000
cluster,0.45,0,104.7,2.0965886626319334,1.8291144727796853,0.26747418985224813,1.504168230325071,1.1460405778236753,0.5924204323068348,0.6830738949560119,0.3821626715425683,0.11468848169031155,1.904231975473217,1.421362041494103,1.3081800100249774,0.8721497992608054,8.881784197001252e-16,2000,5000
