omega,power
0.0,2.995900386875705e-34
0.0025132741228718345,2.0883987128385226e-06
0.005026548245743669,2.076396294329499e-06
0.007539822368615504,2.077960028299795e-06
0.010053096491487338,2.1289711590360145e-06
0.012566370614359173,2.1264090422129907e-06
0.015079644737231009,2.168033397321118e-06
0.017592918860102842,2.1132882114135624e-06
0.020106192982974676,2.2754102496016133e-06
0.022619467105846513,2.211590160431165e-06
0.025132741228718346,2.2624804707889583e-06
0.02764601535159018,2.289411276758032e-06
0.030159289474462017,2.3390718956755473e-06
0.03267256359733385,2.431348513093697e-06
0.035185837720205684,2.404728983282538e-06
0.03769911184307752,2.5004538073667126e-06
0.04021238596594935,2.5325906176302584e-06
0.04272566008882119,2.968711082357842e-06
0.045238934211693026,2.938065564701233e-06
0.04775220833456485,3.6385520370792473e-06
0.05026548245743669,4.480072743859416e-06
0.05277875658030853,5.060253633148646e-06
0.05529203070318036,5.790072300514664e-06
0.057805304826052194,6.460982135957456e-06
0.060318578948924034,8.034437952962564e-06
0.06283185307179587,9.294227967622704e-06
0.0653451271946677,1.0864515433365336e-05
0.06785840131753954,1.0410974890499268e-05
0.07037167544041137,1.2516620556857113e-05
0.0728849495632832,1.225288591678515e-05
0.07539822368615504,1.1684946684702767e-05
0.07791149780902688,1.455441796667071e-05
0.0804247719318987,1.4277577522761527e-05
0.08293804605477054,1.5874413813530796e-05
0.08545132017764238,1.7531210614355185e-05
0.0879645943005142,1.8073768968097634e-05
0.09047786842338605,1.636605701633893e-05
0.09299114254625789,1.7372269709619665e-05
0.0955044166691297,1.7381968842730335e-05
0.09801769079200155,1.8826854006223173e-05
0.10053096491487339,1.968778205287812e-05
0.10304423903774522,2.2903001016824612e-05
0.10555751316061707,2.6574346093734885e-05
0.10807078728348889,2.6453470012667975e-05
0.11058406140636072,2.8121738036989935e-05
0.11309733552923257,2.6225860325053345e-05
0.11561060965210439,3.033014145655261e-05
0.11812388377497622,3.3721798114576847e-05
0.12063715789784807,3.4065287223098156e-05
0.12315043202071989,3.9550066121460655e-05
0.12566370614359174,3.661642617211396e-05
0.12817698026646357,4.395840029206742e-05
0.1306902543893354,5.909533555899338e-05
0.13320352851220724,7.319116464393588e-05
0.13571680263507907,0.00010099294697852616
0.1382300767579509,0.00013657557732605022
0.14074335088082274,0.00018125301568389045
0.14325662500369457,0.000213646660605408
0.1457698991265664,0.00027274072997250117
0.14828317324943824,0.00032285905937549106
0.15079644737231007,0.00033661890720299774
0.1533097214951819,0.0004117051862139295
0.15582299561805377,0.0004057972274380503
0.15833626974092557,0.00041564078731080596
0.1608495438637974,0.00040263960066654975
0.16336281798666927,0.00034298763471634914
0.16587609210954107,0.00033209708755571046
0.1683893662324129,0.0002960249914920831
0.17090264035528477,0.00029846990518511484
0.1734159144781566,0.00026902880071879627
0.1759291886010284,0.0002728657762286047
0.17844246272390027,0.00028387332007639337
