n,signal_example,mean,variance
181,-0.04051030617401223,0.04656050635454187,0.09204910911113257
182,-0.04666464583552024,0.044162898956165035,0.09637380984950619
183,0.08405288062445572,0.04386733888208049,0.10121886017918516
184,0.24212577121502013,0.0447658384428818,0.10475456212464294
185,0.29572031177301933,0.039099101546973894,0.10699897147250237
186,0.3169630716420686,0.024174425624863747,0.10898063488706235
187,0.3684123184015813,0.008600906741304058,0.10852260426159413
188,0.4322718099626543,-0.004922977105517699,0.10764589662336929
189,0.4331661855815254,-0.01874428674389891,0.10748979756590807
190,0.2764989662237061,-0.03301116253247078,0.10894470136828045
191,0.0629164067402632,-0.04476076480295817,0.1116512866306706
192,-0.11791111749131608,-0.04757079303106914,0.11637944394012589
193,-0.2768119226473588,-0.04126461338562346,0.11994223657302952
194,-0.43101210329014483,-0.02787398268285179,0.12133212750643364
195,-0.5647307451778681,-0.011198352240612369,0.11953059736832015
196,-0.61920285862033,0.006843115884837877,0.11255846429887761
197,-0.49129145067499347,0.02426205315765416,0.10675368897478117
198,-0.22081214076624858,0.036374315868542825,0.10509361536335698
199,0.023533890699047186,0.04035552918054523,0.10809500701135097
200,0.1635636473964398,0.036545339745939036,0.11401407777777217
201,0.20055304595361806,0.027250684687891914,0.116391812007384
202,0.17763945014699184,0.01598138646332216,0.11647132040995874
203,0.17826989487707684,0.00506025771014298,0.11493948769595837
204,0.2776081942142902,-0.006181578456421092,0.11039775826436231
205,0.36904594979754385,-0.018324011031856685,0.10812802589266797
206,0.29773367577134063,-0.03309778085086596,0.1111928280452341
207,0.15879777587376911,-0.04531520617284881,0.11360470402896056
208,0.05542252183023106,-0.04995236775990214,0.11379375581202215
209,-0.001802460705578356,-0.04657853470893727,0.11193097926299372
210,-0.09401330019219845,-0.03645532042822857,0.11149907908475337
211,-0.2552835128592473,-0.02226114254945759,0.10862998410958799
212,-0.3797038762617914,-0.007188815041096266,0.0994539094078076
213,-0.3752262990657605,0.007033109233039752,0.09154863436467497
214,-0.24612144059719593,0.02182925417967799,0.08948746597347416
215,-0.0778109730740922,0.0352588417516295,0.09253652617807091
216,0.09469120533157833,0.045006034102974705,0.09834946844341375
217,0.2577083265818944,0.048585005063524644,0.10575009013707168
218,0.3488938173690087,0.047623681896460705,0.11021764689956681
219,0.3922890036030733,0.047333051847542114,0.1112480358746483
220,0.45351961323285145,0.04596436028620208,0.1105130115123956
221,0.522346090288061,0.036226138813897225,0.1098353752480937
222,0.4974985026754652,0.01665942399480771,0.10827352104898759
