model,param,realization,nmse_h1,nmse_h2,nmse_h3,runtime_s
cluster,0.0,0,0.01250223004978958,0.09044796840398626,0.22694313946103556,612.4
cluster,0.05,0,0.01122645451201127,0.0717333591068256,0.1615805103908781,494.1
cluster,0.1,0,0.009697942008515552,0.05747192322086751,0.12149282680678135,437.9
cluster,0.15000000000000002,0,0.0065554441245696485,0.03492403691898425,0.06415341318534845,399.7
cluster,0.2,0,0.0036634441787334114,0.018354875550839464,0.029491604955554362,400.4
cluster,0.25,0,0.0019494707185178548,0.008139154678508474,0.011835558453963979,446.9
cluster,0.30000000000000004,0,0.0010737781232225173,0.0036154862972077296,0.005069231343514298,488.9
cluster,0.35000000000000003,0,0.0008119613207189211,0.0025085050944352347,0.0035066366825149613,519.3
cluster,0.4,0,0.0007066476449306698,0.0020784334818477663,0.002945873712409684,400.4
cluster,0.45,0,0.0006451005466690038,0.001899282774007575,0.0026401407162851887,400.9
cluster,0.5,0,0.0007194567513413718,0.0020586353916184786,0.0027528964067056044,400.8
cluster,0.55,0,0.0007046522984047465,0.001946089067430973,0.002505867148481491,400.7
cluster,0.6000000000000001,0,0.0007593874461556814,0.0022605345567690534,0.003177225787347175,401.0
cluster,0.65,0,0.0008431774272486851,0.002530031700737941,0.0036339215901246506,472.7
cluster,0.7000000000000001,0,0.0009961932994418448,0.0030899796941667146,0.004414807929871272,532.1
cluster,0.75,0,0.001223856068747484,0.003973246639333838,0.005676257756081952,401.0
cluster,0.8,0,0.0017814154725962342,0.006203363973480183,0.008764773300251948,400.8
cluster,0.8500000000000001,0,0.0026828484285788775,0.010912559707735574,0.016444808209032675,400.4
cluster,0.9,0,0.003892840432479788,0.017534453224267273,0.027376717143381957,400.7
cluster,0.9500000000000001,0,0.006781308768003653,0.0286501591295457,0.03872681359691223,400.4
cluster,1.0,0,0.009271086395680713,0.03839799156356712,0.05265828503412908,400.4
