series,frequency_ratio,fitted_log_probability
hawking,0.515,3.016519565957969
hawking,0.5155974842767296,3.0029628593847555
hawking,0.5161949685534591,2.98940615281154
hawking,0.5167924528301887,2.9758494462383247
hawking,0.5173899371069183,2.962292739665111
hawking,0.5179874213836478,2.9487360330918957
hawking,0.5185849056603774,2.9351793265186803
hawking,0.519182389937107,2.9216226199454667
hawking,0.5197798742138365,2.9080659133722513
hawking,0.5203773584905661,2.894509206799036
hawking,0.5209748427672956,2.880952500225824
hawking,0.5215723270440251,2.8673957936526087
hawking,0.5221698113207547,2.853839087079395
hawking,0.5227672955974842,2.8402823805061796
hawking,0.5233647798742138,2.8267256739329643
hawking,0.5239622641509434,2.8131689673597506
hawking,0.524559748427673,2.7996122607865352
hawking,0.5251572327044025,2.78605555421332
hawking,0.5257547169811321,2.7724988476401062
hawking,0.5263522012578616,2.758942141066891
hawking,0.5269496855345912,2.7453854344936754
hawking,0.5275471698113208,2.731828727920462
hawking,0.5281446540880503,2.7182720213472464
hawking,0.5287421383647799,2.704715314774031
hawking,0.5293396226415095,2.6911586082008156
hawking,0.529937106918239,2.677601901627602
hawking,0.5305345911949686,2.6640451950543866
hawking,0.5311320754716982,2.6504884884811712
hawking,0.5317295597484277,2.6369317819079576
hawking,0.5323270440251573,2.6233750753347422
hawking,0.5329245283018867,2.6098183687615304
hawking,0.5335220125786163,2.596261662188315
hawking,0.5341194968553459,2.5827049556150996
hawking,0.5347169811320754,2.569148249041886
hawking,0.535314465408805,2.5555915424686706
hawking,0.5359119496855346,2.542034835895455
hawking,0.5365094339622641,2.5284781293222416
hawking,0.5371069182389937,2.514921422749026
hawking,0.5377044025157233,2.501364716175811
hawking,0.5383018867924528,2.487808009602597
hawking,0.5388993710691824,2.474251303029382
hawking,0.539496855345912,2.4606945964561664
hawking,0.5400943396226415,2.4471378898829528
hawking,0.5406918238993711,2.4335811833097374
hawking,0.5412893081761007,2.420024476736522
hawking,0.5418867924528302,2.4064677701633084
hawking,0.5424842767295598,2.392911063590093
hawking,0.5430817610062894,2.3793543570168776
hawking,0.5436792452830189,2.365797650443662
hawking,0.5442767295597484,2.3522409438704504
hawking,0.5448742138364779,2.3386842372972367
hawking,0.5454716981132075,2.3251275307240213
hawking,0.5460691823899371,2.311570824150806
hawking,0.5466666666666666,2.2980141175775906
hawking,0.5472641509433962,2.284457411004377
hawking,0.5478616352201258,2.2709007044311615
hawking,0.5484591194968553,2.257343997857946
hawking,0.5490566037735849,2.2437872912847325
hawking,0.5496540880503145,2.230230584711517
hawking,0.550251572327044,2.2166738781383017
hawking,0.5508490566037736,2.203117171565088
hawking,0.5514465408805032,2.1895604649918727
hawking,0.5520440251572327,2.1760037584186573
hawking,0.5526415094339623,2.1624470518454437
hawking,0.5532389937106919,2.1488903452722283
hawking,0.5538364779874214,2.135333638699013
hawking,0.554433962264151,2.1217769321257993
hawking,0.5550314465408805,2.108220225552584
hawking,0.5556289308176101,2.0946635189793685
hawking,0.5562264150943397,2.081106812406155
hawking,0.5568238993710691,2.0675501058329413
hawking,0.5574213836477987,2.0539933992597277
hawking,0.5580188679245283,2.0404366926865123
hawking,0.5586163522012578,2.026879986113297
hawking,0.5592138364779874,2.0133232795400833
hawking,0.559811320754717,1.9997665729668679
hawking,0.5604088050314465,1.9862098663936525
hawking,0.5610062893081761,1.972653159820437
hawking,0.5616037735849057,1.9590964532472235
hawking,0.5622012578616352,1.945539746674008
hawking,0.5627987421383648,1.9319830401007927
hawking,0.5633962264150943,1.918426333527579
hawking,0.5639937106918239,1.9048696269543637
hawking,0.5645911949685535,1.8913129203811483
hawking,0.565188679245283,1.8777562138079347
hawking,0.5657861635220126,1.8641995072347193
hawking,0.5663836477987422,1.8506428006615039
hawking,0.5669811320754717,1.8370860940882903
hawking,0.5675786163522012,1.8235293875150766
hawking,0.5681761006289308,1.809972680941863
hawking,0.5687735849056603,1.7964159743686476
hawking,0.5693710691823899,1.7828592677954322
hawking,0.5699685534591195,1.7693025612222186
hawking,0.570566037735849,1.7557458546490032
hawking,0.5711635220125786,1.7421891480757878
hawking,0.5717610062893081,1.7286324415025742
hawking,0.5723584905660377,1.7150757349293588
hawking,0.5729559748427673,1.7015190283561434
hawking,0.5735534591194968,1.6879623217829298
hawking,0.5741509433962264,1.6744056152097144
hawking,0.574748427672956,1.660848908636499
hawking,0.5753459119496855,1.6472922020632836
hawking,0.5759433962264151,1.63373549549007
hawking,0.5765408805031447,1.6201787889168546
hawking,0.5771383647798742,1.6066220823436392
hawking,0.5777358490566038,1.5930653757704256
hawking,0.5783333333333334,1.5795086691972102
hawking,0.5789308176100629,1.5659519626239948
hawking,0.5795283018867925,1.5523952560507812
hawking,0.5801257861635221,1.5388385494775658
hawking,0.5807232704402515,1.525281842904354
hawking,0.5813207547169811,1.5117251363311386
hawking,0.5819182389937106,1.4981684297579232
hawking,0.5825157232704402,1.4846117231847096
hawking,0.5831132075471698,1.4710550166114942
hawking,0.5837106918238993,1.4574983100382788
hawking,0.5843081761006289,1.4439416034650652
hawking,0.5849056603773585,1.4303848968918498
hawking,0.585503144654088,1.4168281903186344
hawking,0.5861006289308176,1.4032714837454208
hawking,0.5866981132075472,1.3897147771722054
hawking,0.5872955974842767,1.37615807059899
hawking,0.5878930817610063,1.3626013640257764
hawking,0.5884905660377359,1.349044657452561
hawking,0.5890880503144654,1.3354879508793456
hawking,0.589685534591195,1.3219312443061302
hawking,0.5902830188679246,1.3083745377329166
hawking,0.590880503144654,1.2948178311597047
hawking,0.5914779874213836,1.2812611245864893
hawking,0.5920754716981131,1.267704418013274
hawking,0.5926729559748427,1.2541477114400585
hawking,0.5932704402515723,1.240591004866845
hawking,0.5938679245283018,1.2270342982936295
hawking,0.5944654088050314,1.2134775917204141
hawking,0.595062893081761,1.1999208851472005
hawking,0.5956603773584905,1.1863641785739851
hawking,0.5962578616352201,1.1728074720007697
hawking,0.5968553459119497,1.1592507654275561
hawking,0.5974528301886792,1.1456940588543407
hawking,0.5980503144654088,1.1321373522811253
hawking,0.5986477987421384,1.1185806457079117
hawking,0.5992452830188679,1.1050239391346963
hawking,0.5998427672955975,1.091467232561481
hawking,0.600440251572327,1.0779105259882673
hawking,0.6010377358490566,1.064353819415052
hawking,0.6016352201257862,1.0507971128418365
hawking,0.6022327044025158,1.037240406268623
hawking,0.6028301886792453,1.0236836996954075
hawking,0.6034276729559749,1.0101269931221921
hawking,0.6040251572327043,0.9965702865489803
hawking,0.6046226415094339,0.9830135799757649
hawking,0.6052201257861635,0.9694568734025513
hawking,0.605817610062893,0.9559001668293359
hawking,0.6064150943396226,0.9423434602561205
hawking,0.6070125786163522,0.9287867536829051
hawking,0.6076100628930817,0.9152300471096915
hawking,0.6082075471698113,0.9016733405364761
hawking,0.6088050314465409,0.8881166339632607
hawking,0.6094025157232704,0.8745599273900471
hawking,0.61,0.8610032208168317
backreaction,0.515,2.591740730590809
backreaction,0.5155974842767296,2.578464512049818
backreaction,0.5161949685534591,2.5651882935088253
backreaction,0.5167924528301887,2.5519120749678343
backreaction,0.5173899371069183,2.5386358564268416
backreaction,0.5179874213836478,2.525359637885849
backreaction,0.5185849056603774,2.512083419344858
backreaction,0.519182389937107,2.4988072008038653
backreaction,0.5197798742138365,2.4855309822628744
backreaction,0.5203773584905661,2.4722547637218817
backreaction,0.5209748427672956,2.4589785451808925
backreaction,0.5215723270440251,2.4457023266399
backreaction,0.5221698113207547,2.432426108098909
backreaction,0.5227672955974842,2.419149889557916
backreaction,0.5233647798742138,2.4058736710169253
backreaction,0.5239622641509434,2.3925974524759326
backreaction,0.524559748427673,2.3793212339349417
backreaction,0.5251572327044025,2.366045015393949
backreaction,0.5257547169811321,2.3527687968529563
backreaction,0.5263522012578616,2.3394925783119653
backreaction,0.5269496855345912,2.3262163597709726
