probe_wavelength_nm,wavelength_nm,eq_d1_counts_hz
1100,231.0,0.967143556279147
1100,231.0043804755945,0.9510886032700516
1100,231.00876095118898,0.9339743479134592
1100,231.01314142678348,0.9158009107891586
1100,231.01752190237798,0.8965684125200678
1100,231.02190237797245,0.8762769738739048
1100,231.02628285356695,0.8549267160253794
1100,231.03066332916146,0.8325177611989092
1100,231.03504380475596,0.8090502341706696
1100,231.03942428035043,0.7845242656607249
1100,231.04380475594493,0.7589400000853349
1100,231.04818523153943,0.7322976210659854
1100,231.0525657071339,0.704597530258655
1100,231.0569461827284,0.6758417873626527
1100,231.0613266583229,0.6460428277474862
1100,231.06570713391739,0.615260795852304
1100,231.0700876095119,0.5837174802174424
1100,231.0744680851064,0.5520449439403096
1100,231.07884856070086,0.5216581430401804
1100,231.08322903629536,0.49506028272895986
1100,231.08760951188987,0.4757124047410725
1100,231.09198998748437,0.46720894712626776
1100,231.09637046307884,0.4720340143437568
1100,231.10075093867334,0.4906713368676501
1100,231.10513141426785,0.5216471936749346
1100,231.10951188986232,0.562349812153996
1100,231.11389236545682,0.6100235367931024
1100,231.11827284105132,0.6624795677823664
1100,231.1226533166458,0.718416279963335
1100,231.1270337922403,0.7774307173062196
1100,231.1314142678348,0.8398070363532827
1100,231.13579474342927,0.9061215877006998
1100,231.14017521902377,0.9767302790781093
1100,231.14455569461828,1.0513246425688243
1100,231.14893617021278,1.1288130589464664
1100,231.15331664580725,1.2076250720241632
1100,231.15769712140175,1.2862180421606895
1100,231.16207759699626,1.3634477215078675
1100,231.16645807259073,1.4386485632844936
1100,231.17083854818523,1.5115134192502828
1100,231.17521902377973,1.5819300354211552
1100,231.1795994993742,1.649866238403822
1100,231.1839799749687,1.7153148200431918
1100,231.1883604505632,1.7782745142745795
1100,231.1927409261577,1.8387452149591557
1100,231.19712140175218,1.8967270624783703
1100,231.2015018773467,1.9522202779131181
1100,231.2058823529412,2.005225117133853
1100,231.21026282853566,2.0557418515380115
1100,231.21464330413016,2.1037707592436794
1100,231.21902377972467,2.1493121211525374
1100,231.22340425531914,2.1923662192567477
1100,231.22778473091364,2.232933335945767
1100,231.23216520650814,2.271013753729868
1100,231.23654568210262,2.3066077551386712
1100,231.24092615769712,2.339715622688327
1100,231.24530663329162,2.3703376388657236
1100,231.24968710888612,2.3984740861281226
1100,231.2540675844806,2.424125246900337
1100,231.2584480600751,2.4472914035760316
1100,231.2628285356696,2.4679728385154474
1100,231.26720901126407,2.4861698340480616
1100,231.27158948685857,2.5018826724707064
1100,231.27596996245308,2.5151116360481316
1100,231.28035043804755,2.5258570070127884
1100,231.28473091364205,2.5341190675656833
1100,231.28911138923655,2.5398980998750904
1100,231.29349186483103,2.543194386077672
1100,231.29787234042553,2.5440082082778086
1100,231.30225281602003,2.542339848547907
1100,231.30663329161453,2.5381895889283257
1100,231.311013767209,2.5315577114273133
1100,231.3153942428035,2.52244449802118
1100,231.319774718398,2.5108502306539933
1100,231.32415519399248,2.496775191238175
1100,231.32853566958698,2.480219661653704
1100,231.33291614518149,2.4611839237486235
1100,231.33729662077596,2.4396682593394456
1100,231.34167709637046,2.4156729502096983
1100,231.34605757196496,2.389198278111595
1100,231.35043804755944,2.360244524765785
1100,231.35481852315394,2.328811971859338
1100,231.35919899874844,2.29490090105029
1100,231.36357947434294,2.2585115939641125
1100,231.36795994993741,2.2196443322040467
1100,231.37234042553192,2.17829939736409
1100,231.37672090112642,2.134477071082213
1100,231.3811013767209,2.0881776351803296
1100,231.3854818523154,2.0394013720369273
1100,231.3898623279099,1.9881485655190176
1100,231.39424280350437,1.9344195032072697
1100,231.39862327909887,1.8782144814954123
1100,231.40300375469337,1.8195338169778668
1100,231.40738423028785,1.7583778748458305
1100,231.41176470588235,1.6947472019959002
1100,231.41614518147685,1.6286436115621514
1100,231.42052565707135,1.5600779774111109
1100,231.42490613266582,1.4891105047553557
1100,231.42928660826033,1.4159984084303647
1100,231.43366708385483,1.341584064370436
1100,231.4380475594493,1.2680193752753832
1100,231.4424280350438,1.1996473144881836
1100,231.4468085106383,1.143388864321035
1100,231.45118898623278,1.1077729234937843
1100,231.45556946182728,1.1004429560365876
1100,231.45994993742178,1.1253809465852747
1100,231.46433041301626,1.1816753281381343
1100,231.46871088861076,1.2645061457759974
1100,231.47309136420526,1.3673866036639875
1100,231.47747183979976,1.4842799503779258
1100,231.48185231539424,1.6108721129673274
1100,231.48623279098874,1.7449948786064262
1100,231.49061326658324,1.8864293192753323
1100,231.4949937421777,2.0362375451677766
1100,231.4993742177722,2.1957102660039567
1100,231.50375469336672,2.3651716765470256
1100,231.5081351689612,2.543177037759308
1100,231.5125156445557,2.7266276585487677
1100,231.5168961201502,2.9117477729010814
1100,231.5212765957447,3.095222465037484
1100,231.52565707133917,3.27480982461757
1100,231.53003754693367,3.4493114635688333
1100,231.53441802252817,3.6182180358135447
1100,231.53879849812265,3.7813584427872717
1100,231.54317897371715,3.938687667756643
1100,231.54755944931165,4.090196414961945
1100,231.55193992490612,4.235883220388171
