series,role,omega_rad_fs,omega_prime_rad_fs
curve_a,dispersion,0.0,0.0
curve_a,dispersion,0.005315822388993121,0.0005227593797574454
curve_a,dispersion,0.010631644777986242,0.0010513373930464212
curve_a,dispersion,0.015947467166979364,0.0015733096294829954
curve_a,dispersion,0.021263289555972485,0.002092397718590766
curve_a,dispersion,0.026579111944965605,0.0026110696507597522
curve_a,dispersion,0.03189493433395873,0.0031308550597743748
curve_a,dispersion,0.03721075672295185,0.0036526009052098504
curve_a,dispersion,0.04252657911194497,0.0041766762369578325
curve_a,dispersion,0.04784240150093809,0.004703133734801697
curve_a,dispersion,0.05315822388993121,0.005231834815006116
curve_a,dispersion,0.05847404627892433,0.005762544277189183
curve_a,dispersion,0.06378986866791746,0.006294999722507751
curve_a,dispersion,0.06910569105691057,0.006828960302912579
curve_a,dispersion,0.0744215134459037,0.007364238755720842
curve_a,dispersion,0.07973733583489681,0.007900720133096242
curve_a,dispersion,0.08505315822388994,0.008438370147581746
curve_a,dispersion,0.09036898061288307,0.008977235618220211
curve_a,dispersion,0.09568480300187618,0.009517439112899123
curve_a,dispersion,0.1010006253908693,0.010059169537486229
curve_a,dispersion,0.10631644777986242,0.01060267011743192
curve_a,dispersion,0.11163227016885555,0.011148224949375438
curve_a,dispersion,0.11694809255784866,0.01169614506569032
curve_a,dispersion,0.12226391494684179,0.012246754750828467
curve_a,dispersion,0.12757973733583491,0.012800378671957331
curve_a,dispersion,0.13289555972482803,0.01335733023509901
curve_a,dispersion,0.13821138211382114,0.013917901449322312
curve_a,dispersion,0.14352720450281428,0.014482354473224768
curve_a,dispersion,0.1488430268918074,0.015050914927849914
curve_a,dispersion,0.1541588492808005,0.015623766986346162
curve_a,dispersion,0.15947467166979362,0.016201050191266185
curve_a,dispersion,0.16479049405878676,0.01678285790374432
curve_a,dispersion,0.17010631644777988,0.017369237253322345
curve_a,dispersion,0.175422138836773,0.017960190431493835
curve_a,dispersion,0.18073796122576613,0.01855567715479369
curve_a,dispersion,0.18605378361475924,0.019155618113273973
curve_a,dispersion,0.19136960600375236,0.019759899216389203
curve_a,dispersion,0.19668542839274547,0.020368376449668088
curve_a,dispersion,0.2020012507817386,0.02098088116117612
